Episode 288/10000, Avg Reward: 402.25, Explained Var: 0.02
Episode 289/10000, Avg Reward: 426.35, Explained Var: 0.02
Episode 290/10000, Avg Reward: 18.51, Explained Var: 0.26
Episode 291/10000, Avg Reward: 35.01, Explained Var: 0.17
Episode 292/10000, Avg Reward: 252.39, Explained Var: 0.03
Episode 293/10000, Avg Reward: 412.46, Explained Var: 0.02
Episode 294/10000, Avg Reward: 30.23, Explained Var: 0.20
Episode 295/10000, Avg Reward: 37.38, Explained Var: 0.17
Episode 296/10000, Avg Reward: 36.84, Explained Var: 0.18
Episode 297/10000, Avg Reward: 487.65, Explained Var: 0.02
Episode 298/10000, Avg Reward: 34.57, Explained Var: 0.20
Episode 299/10000, Avg Reward: 347.51, Explained Var: 0.02
Episode 300/10000, Avg Reward: 1212.73, Explained Var: 0.01
Episode 301/10000, Avg Reward: 325.75, Explained Var: 0.03
Episode 302/10000, Avg Reward: 392.76, Explained Var: 0.02
Episode 303/10000, Avg Reward: 20.10, Explained Var: 0.23
Episode 304/10000, Avg Reward: 33.32, Explained Var: 0.18
Episode 305/10000, Avg Reward: 410.65, Explained Var: 0.02
Episode 306/10000, Avg Reward: 394.07, Explained Var: 0.03
Episode 307/10000, Avg Reward: 723.57, Explained Var: 0.01
Episode 308/10000, Avg Reward: 33.88, Explained Var: 0.21
Episode 309/10000, Avg Reward: 353.41, Explained Var: 0.02
Episode 310/10000, Avg Reward: 95.66, Explained Var: 0.07
Episode 311/10000, Avg Reward: 172.71, Explained Var: 0.05
Episode 312/10000, Avg Reward: 22.31, Explained Var: 0.22
Episode 313/10000, Avg Reward: 31.71, Explained Var: 0.19
Episode 314/10000, Avg Reward: 78.14, Explained Var: 0.06
Episode 315/10000, Avg Reward: 622.82, Explained Var: 0.01
Episode 316/10000, Avg Reward: 29.27, Explained Var: 0.26
Episode 317/10000, Avg Reward: 695.19, Explained Var: 0.01
Episode 318/10000, Avg Reward: 472.69, Explained Var: 0.02
Episode 319/10000, Avg Reward: 216.88, Explained Var: 0.04
Episode 320/10000, Avg Reward: 254.17, Explained Var: 0.04
Episode 321/10000, Avg Reward: 329.46, Explained Var: 0.03
Episode 322/10000, Avg Reward: 34.23, Explained Var: 0.18
Episode 323/10000, Avg Reward: 330.21, Explained Var: 0.02
Episode 324/10000, Avg Reward: 686.76, Explained Var: 0.01
Episode 325/10000, Avg Reward: 51.12, Explained Var: 0.16
Episode 326/10000, Avg Reward: 204.59, Explained Var: 0.03
Episode 327/10000, Avg Reward: 64.75, Explained Var: 0.11
Episode 328/10000, Avg Reward: 710.59, Explained Var: 0.01
