Episode 343/10000, Avg Reward: 741.99, Explained Var: 0.01
Episode 344/10000, Avg Reward: 429.98, Explained Var: 0.02
Episode 345/10000, Avg Reward: 265.21, Explained Var: 0.03
Episode 346/10000, Avg Reward: 636.16, Explained Var: 0.01
Episode 347/10000, Avg Reward: 398.67, Explained Var: 0.03
Episode 348/10000, Avg Reward: 362.11, Explained Var: 0.01
Episode 349/10000, Avg Reward: 790.15, Explained Var: 0.01
Episode 350/10000, Avg Reward: 89.92, Explained Var: 0.08
Episode 351/10000, Avg Reward: 711.18, Explained Var: 0.01
Episode 352/10000, Avg Reward: 273.11, Explained Var: 0.03
Episode 353/10000, Avg Reward: 129.12, Explained Var: 0.07
Episode 354/10000, Avg Reward: 576.68, Explained Var: 0.02
Episode 355/10000, Avg Reward: 554.02, Explained Var: 0.02
Episode 356/10000, Avg Reward: 371.00, Explained Var: 0.02
Episode 357/10000, Avg Reward: 427.52, Explained Var: 0.02
Episode 358/10000, Avg Reward: 131.45, Explained Var: 0.05
Episode 359/10000, Avg Reward: 222.75, Explained Var: 0.05
Episode 360/10000, Avg Reward: 499.89, Explained Var: 0.02
Episode 361/10000, Avg Reward: 328.67, Explained Var: 0.04
Episode 362/10000, Avg Reward: 336.86, Explained Var: 0.03
Episode 363/10000, Avg Reward: 174.31, Explained Var: 0.05
Episode 364/10000, Avg Reward: 900.11, Explained Var: 0.01
Episode 365/10000, Avg Reward: 450.38, Explained Var: 0.02
Episode 366/10000, Avg Reward: 394.86, Explained Var: 0.02
Episode 367/10000, Avg Reward: 492.05, Explained Var: 0.02
Episode 368/10000, Avg Reward: 498.72, Explained Var: 0.02
Episode 369/10000, Avg Reward: 445.74, Explained Var: 0.02
Episode 370/10000, Avg Reward: 388.24, Explained Var: 0.02
Episode 371/10000, Avg Reward: 745.65, Explained Var: 0.01
Episode 372/10000, Avg Reward: 269.03, Explained Var: 0.03
Episode 373/10000, Avg Reward: 1061.49, Explained Var: 0.01
Episode 374/10000, Avg Reward: 146.50, Explained Var: 0.06
Episode 375/10000, Avg Reward: 818.05, Explained Var: 0.01
Episode 376/10000, Avg Reward: 410.48, Explained Var: 0.02
Episode 377/10000, Avg Reward: 727.51, Explained Var: 0.01
Episode 378/10000, Avg Reward: 300.72, Explained Var: 0.04
Episode 379/10000, Avg Reward: 500.68, Explained Var: 0.02
Episode 380/10000, Avg Reward: 1225.92, Explained Var: 0.01
Episode 381/10000, Avg Reward: 610.51, Explained Var: 0.02
Episode 382/10000, Avg Reward: 764.41, Explained Var: 0.01
Episode 383/10000, Avg Reward: 178.60, Explained Var: 0.05
Episode 384/10000, Avg Reward: 416.88, Explained Var: 0.02
Episode 385/10000, Avg Reward: 427.95, Explained Var: 0.03
