Episode 301/10000, Avg Reward: 27.67, Explained Var: 0.24
Episode 302/10000, Avg Reward: 410.55, Explained Var: 0.02
Episode 303/10000, Avg Reward: 505.56, Explained Var: 0.02
Episode 304/10000, Avg Reward: 270.90, Explained Var: 0.03
Episode 305/10000, Avg Reward: 109.25, Explained Var: 0.01
Episode 306/10000, Avg Reward: 52.81, Explained Var: 0.09
Episode 307/10000, Avg Reward: 50.36, Explained Var: 0.12
Episode 308/10000, Avg Reward: 950.94, Explained Var: 0.01
Episode 309/10000, Avg Reward: 357.46, Explained Var: 0.02
Episode 310/10000, Avg Reward: 604.10, Explained Var: 0.02
Episode 311/10000, Avg Reward: 289.07, Explained Var: 0.02
Episode 312/10000, Avg Reward: 50.56, Explained Var: 0.11
Episode 313/10000, Avg Reward: 259.23, Explained Var: 0.02
Episode 314/10000, Avg Reward: 22.50, Explained Var: 0.21
Episode 315/10000, Avg Reward: 50.58, Explained Var: 0.13
Episode 316/10000, Avg Reward: 354.81, Explained Var: 0.02
Episode 317/10000, Avg Reward: 705.02, Explained Var: 0.01
Episode 318/10000, Avg Reward: 1189.48, Explained Var: 0.01
Episode 319/10000, Avg Reward: 934.86, Explained Var: 0.01
Episode 320/10000, Avg Reward: 404.00, Explained Var: 0.02
Episode 321/10000, Avg Reward: 170.66, Explained Var: 0.04
Episode 322/10000, Avg Reward: 26.79, Explained Var: 0.28
Episode 323/10000, Avg Reward: 178.89, Explained Var: 0.03
Episode 324/10000, Avg Reward: 357.12, Explained Var: 0.03
Episode 325/10000, Avg Reward: 31.62, Explained Var: 0.19
Episode 326/10000, Avg Reward: 124.31, Explained Var: 0.06
Episode 327/10000, Avg Reward: 567.56, Explained Var: 0.01
Episode 328/10000, Avg Reward: 481.31, Explained Var: 0.02
Episode 329/10000, Avg Reward: 24.55, Explained Var: 0.33
Episode 330/10000, Avg Reward: 823.63, Explained Var: 0.01
Episode 331/10000, Avg Reward: 76.54, Explained Var: 0.10
Episode 332/10000, Avg Reward: 261.48, Explained Var: 0.03
Episode 333/10000, Avg Reward: 168.83, Explained Var: 0.06
Episode 334/10000, Avg Reward: 240.70, Explained Var: 0.03
Episode 335/10000, Avg Reward: 417.15, Explained Var: 0.02
Episode 336/10000, Avg Reward: 207.95, Explained Var: 0.03
Episode 337/10000, Avg Reward: 793.07, Explained Var: 0.01
Episode 338/10000, Avg Reward: 138.62, Explained Var: 0.05
Episode 339/10000, Avg Reward: 33.33, Explained Var: 0.26
Episode 340/10000, Avg Reward: 175.85, Explained Var: 0.05
Episode 341/10000, Avg Reward: 764.98, Explained Var: 0.01
Episode 342/10000, Avg Reward: 541.49, Explained Var: 0.02
Episode 343/10000, Avg Reward: 105.70, Explained Var: 0.07
Episode 344/10000, Avg Reward: 326.41, Explained Var: 0.03
Episode 345/10000, Avg Reward: 67.89, Explained Var: 0.12
Episode 346/10000, Avg Reward: 109.54, Explained Var: 0.07
Episode 347/10000, Avg Reward: 195.69, Explained Var: 0.03
Episode 348/10000, Avg Reward: 566.14, Explained Var: 0.02
Episode 349/10000, Avg Reward: 30.09, Explained Var: 0.26
Episode 350/10000, Avg Reward: 649.74, Explained Var: 0.02
Episode 351/10000, Avg Reward: 406.79, Explained Var: 0.03
Episode 352/10000, Avg Reward: 623.00, Explained Var: 0.02
Episode 353/10000, Avg Reward: 493.25, Explained Var: 0.02
Episode 354/10000, Avg Reward: 45.50, Explained Var: 0.14
Episode 355/10000, Avg Reward: 142.25, Explained Var: 0.06
Episode 356/10000, Avg Reward: 330.44, Explained Var: 0.03
Episode 357/10000, Avg Reward: 30.20, Explained Var: 0.31
Episode 358/10000, Avg Reward: 358.24, Explained Var: 0.03
