sld,occurrence_count,words,word_count,length,vowels,consonants,vowel_percentage
ezhostingserver,107033,"['hosting', 'server']",2,15,5,10,33.33
livecam-secrets,106944,"['live', 'cam', 'secrets']",3,15,5,10,33.33
myrealestateplatform,106759,"['real', 'estate', 'platform']",3,20,7,13,35.0
kaisa-laajakaista,105777,"['kais', 'aja', 'kaist']",3,17,9,8,52.94
findthebetter,105630,"['find', 'the', 'better']",3,13,4,9,30.77
toprevenuegate,103920,"['top', 'revenue', 'gate']",3,14,7,7,50.0
sl-laajakaista,103245,"['aja', 'kaist']",2,14,6,8,42.86
myblackporntube,103082,"['black', 'porn', 'tube']",3,15,4,11,26.67
uslocalfinder,102039,"['local', 'finder']",2,13,5,8,38.46
pegaenablement,101940,"['peg', 'enable', 'ment']",3,14,6,8,42.86
highcpmrevenuenetwork,101890,"['high', 'revenue', 'network']",3,21,7,14,33.33
telusmobility,101770,"['telus', 'mobility']",2,13,5,8,38.46
truckpromotions,101580,"['truck', 'promotions']",2,15,5,10,33.33
bookingexperts,101478,"['booking', 'experts']",2,14,5,9,35.71
ruhr-uni-bochum,101169,"['ruhr', 'uni', 'bochum']",3,15,5,10,33.33
securitysystemsdir,100200,"['security', 'systems', 'dir']",3,18,5,13,27.78
fwbsjnakjabdname,100083,"['nak', 'abd', 'name']",3,16,4,12,25.0
buildingcontractorsdirs,100072,"['building', 'contractors', 'dir']",3,23,7,16,30.43
createlastingsuccess,99069,"['create', 'lasting', 'success']",3,20,7,13,35.0
foretagsmagazinet,98988,"['fore', 'tags', 'magazine']",3,17,7,10,41.18
tributecenterstore,98501,"['tribute', 'center', 'store']",3,18,7,11,38.89
cyfrowypolsat,97846,"['fro', 'pols']",2,13,3,10,23.08
mikkeyhalsted,97841,"['mik', 'key', 'hals', 'ted']",4,13,4,9,30.77
instasexyblog,97522,"['insta', 'sexy', 'blog']",3,13,4,9,30.77
listen2myradio,97206,"['listen', 'radio']",2,14,5,9,35.71
serviciotecnicoeuropa,96520,"['ser', 'vici', 'otec', 'nico', 'europa']",5,21,11,10,52.38
rk-joomlawork,96180,"['joo', 'mla', 'work']",3,13,4,9,30.77
reliablehomevaluation,96141,"['reliable', 'home', 'valuation']",3,21,11,10,52.38
summitfinancialdisclosure,96057,"['summit', 'financial', 'disclosure']",3,25,10,15,40.0
sinocokingchina,95390,"['sino', 'coking', 'china']",3,15,6,9,40.0
honeyagencyapps,95264,"['honey', 'agency', 'apps']",3,15,5,10,33.33
activespinetherapy,94804,"['active', 'spine', 'therapy']",3,18,7,11,38.89
meccinextgenerationmarket,94500,"['cci', 'next', 'generation', 'market']",4,25,10,15,40.0
eastendremodeling,94416,"['east', 'end', 'remodeling']",3,17,7,10,41.18
exponential-e,94106,['exponential'],1,13,6,7,46.15
