word,phonotactic_probability,log_phonotactic_probability
manei.com,8.072933283238685e-49,-110.73815266051399
manei.net,1.2507250745798471e-48,-110.30036102090568
manei.jp,3.090095924343519e-39,-88.6726164928631
manei.ru,8.59454325925049e-48,-108.37295696657637
manei.xyz,1.0604144523594724e-42,-96.64991408125175
manei.de,1.2210441638584917e-47,-108.02179300600943
manei.org,2.5542036378243162e-46,-104.98117379039515
dones.net,8.5851076672996e-43,-96.86112996314532
dones.com,4.166665786500518e-42,-95.28145776134967
dones.xyz,5.4730944294194285e-36,-81.19321918208745
dones.de,1.3968957988595043e-42,-96.37432141747712
dones.it,1.1123217703298719e-40,-91.99695420398305
dones.ru,1.2227356438771735e-42,-96.50748322623028
dones.fr,4.7743008884081174e-32,-72.11947542340046
dones.org,3.74622239227273e-43,-97.69041102855242
dones.io,5.813414682920334e-48,-108.76391634037776
airlex.com,1.9639465470056663e-52,-119.0594688425207
airlex.de,6.58423022452459e-53,-120.15233249864812
airlex.net,4.0465670689240203e-53,-120.63914104431632
airlex.org,1.7657717005900848e-53,-121.46842210972342
alfrin.com,3.4028618236880095e-45,-102.39171239430213
greatwd.com,9.140836659637398e-46,-103.70616235819587
greatwd.net,1.9171327377266626e-45,-102.96549848064177
greatwd.ru,8.533220530433729e-44,-99.16977724809777
batpig.com,2.88819730000203e-46,-104.85828174185382
batpig.net,2.563325061199092e-44,-100.37243882399426
telaxs.com,9.650411699664237e-46,-103.65191370010761
temdis.com,2.1475882094159802e-44,-100.54939864230788
choidn.de,6.7008659097192266e-40,-90.20116696145911
pornfil.com,1.053957397844837e-45,-103.56377715493183
conf3d.com,1.7623300272568896e-44,-100.74710727912002
hardinc.com,1.9150005903351736e-47,-107.57178143981857
ahwnis.com,2.4201146181858677e-46,-105.03509937579237
doberti.com,1.414201827412787e-54,-123.99302972930293
crowin.com,3.2576379668379437e-43,-97.8301566160283
crowin.cn,2.679853030186154e-32,-72.69696102227321
crowin.io,2.3079770543095654e-48,-109.68771305692471
gerdauk.com,8.599932294210071e-54,-122.18784069121627
gerdauk.net,5.519827214111221e-52,-118.02607827768273
ehards.com,3.0594277567589275e-44,-100.19551620085694
ehards.de,1.0256886439457395e-44,-101.28837985698436
aneliv.fr,1.7017699311660382e-45,-103.08466033929604
abolv.cn,7.216451788761828e-34,-76.31152977168976
godealt.com,1.9273257329599523e-52,-119.07829142423806
chanir.com,2.718356508305057e-44,-100.31371661893537
bruniva.net,8.628696628087216e-54,-122.18450155602062
