Episode 313/10000, Avg Reward: 97.18, Explained Var: 0.07
Episode 314/10000, Avg Reward: 604.87, Explained Var: 0.01
Episode 315/10000, Avg Reward: 716.22, Explained Var: 0.01
Episode 316/10000, Avg Reward: 112.36, Explained Var: 0.04
Episode 317/10000, Avg Reward: 609.91, Explained Var: 0.01
Episode 318/10000, Avg Reward: 429.06, Explained Var: 0.02
Episode 319/10000, Avg Reward: 264.04, Explained Var: 0.03
Episode 320/10000, Avg Reward: 272.55, Explained Var: 0.03
Episode 321/10000, Avg Reward: 532.37, Explained Var: 0.01
Episode 322/10000, Avg Reward: 317.14, Explained Var: 0.02
Episode 323/10000, Avg Reward: 454.58, Explained Var: 0.03
Episode 324/10000, Avg Reward: 957.63, Explained Var: 0.01
Episode 325/10000, Avg Reward: 816.63, Explained Var: 0.01
Episode 326/10000, Avg Reward: 1398.43, Explained Var: 0.01
Episode 327/10000, Avg Reward: 478.74, Explained Var: 0.02
Episode 328/10000, Avg Reward: 826.60, Explained Var: 0.01
Episode 329/10000, Avg Reward: 250.97, Explained Var: 0.03
Episode 330/10000, Avg Reward: 638.03, Explained Var: 0.01
Episode 331/10000, Avg Reward: 180.32, Explained Var: 0.07
Episode 332/10000, Avg Reward: 134.20, Explained Var: 0.05
Episode 333/10000, Avg Reward: 113.21, Explained Var: 0.06
Episode 334/10000, Avg Reward: 207.95, Explained Var: 0.03
Episode 335/10000, Avg Reward: 281.48, Explained Var: 0.04
Episode 336/10000, Avg Reward: 712.78, Explained Var: 0.01
Episode 337/10000, Avg Reward: 514.81, Explained Var: 0.01
Episode 338/10000, Avg Reward: 386.73, Explained Var: 0.02
Episode 339/10000, Avg Reward: 138.76, Explained Var: 0.04
Episode 340/10000, Avg Reward: 134.96, Explained Var: 0.05
Episode 341/10000, Avg Reward: 830.09, Explained Var: 0.01
Episode 342/10000, Avg Reward: 131.82, Explained Var: 0.03
Episode 343/10000, Avg Reward: 638.98, Explained Var: 0.01
Episode 344/10000, Avg Reward: 129.67, Explained Var: 0.04
Episode 345/10000, Avg Reward: 95.63, Explained Var: 0.08
Episode 346/10000, Avg Reward: 500.24, Explained Var: 0.02
Episode 347/10000, Avg Reward: 1018.80, Explained Var: 0.01
Episode 348/10000, Avg Reward: 507.89, Explained Var: 0.02
Episode 349/10000, Avg Reward: 466.19, Explained Var: 0.02
Episode 350/10000, Avg Reward: 329.67, Explained Var: 0.02
Episode 351/10000, Avg Reward: 890.49, Explained Var: 0.01
Episode 352/10000, Avg Reward: 903.54, Explained Var: 0.01
Episode 353/10000, Avg Reward: 179.82, Explained Var: 0.05
Episode 354/10000, Avg Reward: 95.17, Explained Var: 0.08
Episode 355/10000, Avg Reward: 355.32, Explained Var: 0.02
Episode 356/10000, Avg Reward: 120.48, Explained Var: 0.06
Episode 357/10000, Avg Reward: 105.39, Explained Var: 0.08
Episode 358/10000, Avg Reward: 745.46, Explained Var: 0.01
Episode 359/10000, Avg Reward: 406.80, Explained Var: 0.02
Episode 360/10000, Avg Reward: 503.89, Explained Var: 0.02
Episode 361/10000, Avg Reward: 426.98, Explained Var: 0.02
Episode 362/10000, Avg Reward: 463.60, Explained Var: 0.02
Episode 363/10000, Avg Reward: 816.00, Explained Var: 0.01
Episode 364/10000, Avg Reward: 450.22, Explained Var: 0.02
Episode 365/10000, Avg Reward: 153.69, Explained Var: 0.10
Episode 366/10000, Avg Reward: 395.35, Explained Var: 0.02
Episode 367/10000, Avg Reward: 629.90, Explained Var: 0.02
Episode 368/10000, Avg Reward: 748.25, Explained Var: 0.01
Episode 369/10000, Avg Reward: 1247.01, Explained Var: 0.01
Episode 370/10000, Avg Reward: 330.31, Explained Var: 0.03
Episode 371/10000, Avg Reward: 313.84, Explained Var: 0.03
Episode 372/10000, Avg Reward: 854.36, Explained Var: 0.01
Episode 373/10000, Avg Reward: 324.20, Explained Var: 0.04
Episode 374/10000, Avg Reward: 733.23, Explained Var: 0.01
Episode 375/10000, Avg Reward: 447.28, Explained Var: 0.02
Episode 376/10000, Avg Reward: 218.36, Explained Var: 0.04
Episode 377/10000, Avg Reward: 388.68, Explained Var: 0.02
Episode 378/10000, Avg Reward: 345.13, Explained Var: 0.03
Episode 379/10000, Avg Reward: 476.53, Explained Var: 0.02
Episode 380/10000, Avg Reward: 112.25, Explained Var: 0.08
Episode 381/10000, Avg Reward: 398.79, Explained Var: 0.03
Episode 382/10000, Avg Reward: 1001.83, Explained Var: 0.01
Episode 383/10000, Avg Reward: 271.82, Explained Var: 0.03
Episode 384/10000, Avg Reward: 386.01, Explained Var: 0.04
Episode 385/10000, Avg Reward: 176.00, Explained Var: 0.05
Episode 386/10000, Avg Reward: 497.11, Explained Var: 0.02
Episode 387/10000, Avg Reward: 295.42, Explained Var: 0.03
Episode 388/10000, Avg Reward: 1076.14, Explained Var: 0.01
Episode 389/10000, Avg Reward: 138.01, Explained Var: 0.05
Episode 390/10000, Avg Reward: 95.17, Explained Var: 0.10
Episode 391/10000, Avg Reward: 473.89, Explained Var: 0.02
Episode 392/10000, Avg Reward: 737.44, Explained Var: 0.01
Episode 393/10000, Avg Reward: 184.53, Explained Var: 0.04
Episode 394/10000, Avg Reward: 508.38, Explained Var: 0.02
Episode 395/10000, Avg Reward: 396.46, Explained Var: 0.03
Episode 396/10000, Avg Reward: 174.57, Explained Var: 0.06
Episode 397/10000, Avg Reward: 793.96, Explained Var: 0.01
Episode 398/10000, Avg Reward: 924.86, Explained Var: 0.01
Episode 399/10000, Avg Reward: 511.23, Explained Var: 0.02
Episode 400/10000, Avg Reward: 466.79, Explained Var: 0.03
Episode 401/10000, Avg Reward: 416.86, Explained Var: 0.02
Episode 402/10000, Avg Reward: 263.90, Explained Var: 0.04
Episode 403/10000, Avg Reward: 223.68, Explained Var: 0.04
Episode 404/10000, Avg Reward: 1144.04, Explained Var: 0.01
Episode 405/10000, Avg Reward: 805.48, Explained Var: 0.01
Episode 406/10000, Avg Reward: 347.83, Explained Var: 0.03
Episode 407/10000, Avg Reward: 102.08, Explained Var: 0.10
Episode 408/10000, Avg Reward: 763.09, Explained Var: 0.02
Episode 409/10000, Avg Reward: 396.03, Explained Var: 0.03
Episode 410/10000, Avg Reward: 139.58, Explained Var: 0.07
Episode 411/10000, Avg Reward: 116.32, Explained Var: 0.10
Episode 412/10000, Avg Reward: 1124.85, Explained Var: 0.01
Episode 413/10000, Avg Reward: 265.36, Explained Var: 0.04
Episode 414/10000, Avg Reward: 1120.45, Explained Var: 0.01
Episode 415/10000, Avg Reward: 285.83, Explained Var: 0.04
